	umap dim 1	umap dim 2	Membrane.Ecad..HCC.650.Joe..Mean..Normalized.Counts..Total.Weighting.	Nucleus.DAPI.Mean..Normalized.Counts..Total.Weighting.	Cytoplasm.CD103..HCC.520.Joe..Mean..Normalized.Counts..Total.Weighting.	Cytoplasm.Glypican..HCC.540.Joe..Mean..Normalized.Counts..Total.Weighting.	Cytoplasm.CD8..HCC.570.Joe..Mean..Normalized.Counts..Total.Weighting.	Cytoplasm.PD1..HCC.620.Joe..Mean..Normalized.Counts..Total.Weighting.	Cytoplasm.CD3..HCC.690.Joe..Mean..Normalized.Counts..Total.Weighting.
9499	2.9961116	7.8686047	15.226	13.006	1.465	7.039	18.129	8.502	0.874
9500	-0.7623313	7.1115417	17.547	12.233	1.574	7.143	10.35	6.746	0.809
9501	0.24149275	3.959627	13.267	14.448	1.133	5.905	9.699	5.885	0.64
9502	-0.7928275	8.833367	20.003	16.774	1.518	7.935	9.573	6.003	0.8
9503	1.6139011	13.392936	29.17	12.168	1.321	19.662	12.966	6.711	1.011
9504	-1.0726856	10.376129	23.943	13.715	1.675	7.86	9.968	7.396	1.293
9505	0.6269353	4.756117	13.813	13.573	1.29	6.648	10.689	5.902	0.895
9506	0.3730933	2.89196	12.881	17.046	1.406	6.074	8.013	7.167	0.731
9507	1.7466882	4.0706964	11.896	16.626	1.298	7.66	11.202	8.199	0.957
9508	0.4753913	0.30985403	5.988	22.291	0.685	2.761	4.89	5.237	0.584
9509	1.1253103	0.2699523	7.282	19.054	1.064	4.775	6.957	5.641	0.618
9510	-0.040040057	5.4188237	15.232	15.069	1.498	6.569	10.305	6.347	0.762
9511	2.9479523	2.0441532	9.178	13.714	1.318	5.939	10.374	7.435	0.733
9512	-0.79125166	9.494478	21.65	15.171	1.586	7.943	11.344	6.627	0.947
9513	2.1352015	-2.1301122	6.661	11.693	0.718	3.452	5.3	4.269	0.618
9514	-1.0336908	9.363915	20.938	13.24	1.669	5.8	12.37	6.37	1.027
9515	1.6335391	11.160585	23.731	15.174	1.726	6.871	19.314	7.418	0.773
9516	3.3227808	0.9096711	8.257	12.235	1.375	6.406	8.944	6.552	0.778
9517	0.39512333	4.64524	14.49	12.812	1.47	7.322	9.832	6.433	0.789
9518	0.5939943	12.466613	26.683	12.365	1.257	13.146	12.395	6.291	1.066
9519	-0.04613622	7.7555356	17.837	14.695	1.391	7.752	12.41	7.181	1.005
9520	3.566542	0.3168947	6.081	11.915	1.439	6.436	9.706	7.235	0.996
9521	3.0435338	-0.51774156	6.102	13.501	1.072	5.072	8.351	5.656	0.964
9522	1.557972	1.532054	9.367	16.257	1.139	5.703	8.898	6.23	0.734
9523	0.11026662	8.4421215	19.251	18.199	1.022	7.325	12.45	6.207	0.724
9524	2.951673	-0.5083998	6.871	11.993	1.12	5.04	8.007	5.193	0.637
9525	3.0496032	6.830237	13.251	12.645	1.494	7.74	15.681	8.189	0.851
9526	2.4072146	-3.6376603	4.071	11.962	0.575	3.494	3.658	3.274	0.548
9527	-0.0051357443	8.179585	18.201	12.473	1.486	8.473	13.689	7.458	1.006
9528	-1.1180102	9.69535	22.243	15.457	1.463	7.094	10.024	6.068	1.077
9529	2.410653	-1.5215884	5.858	12.316	0.9	3.478	6.263	6.493	0.66
9530	0.06432931	5.1687307	14.396	14.149	1.175	5.86	10.288	5.241	0.978
9531	1.9496031	13.355259	29.53	16.053	1.284	18.847	13.227	4.605	1.239
9532	1.7720531	8.047339	16.815	15.278	1.82	6.882	15.509	9.171	0.913
9533	1.7843708	13.095094	27.293	14.023	1.641	14.177	18.826	6.74	1.424
9534	1.457005	3.2000797	12.228	14.683	1.707	7.394	8.454	5.279	0.732
9535	0.081667885	7.285206	16.205	12.068	1.358	7.147	14.2	6.537	0.993
9536	0.06971351	7.858218	18.901	19.001	1.237	7.47	11.232	7.746	1.074
9537	1.447102	6.416313	14.976	15.225	1.479	6.971	13.835	7.328	0.854
9538	0.5754268	1.3086355	9.528	20.945	1.231	5.169	10.397	6.827	0.696
9539	1.2809162	11.478378	23.657	14.903	1.597	9.447	18.155	7.491	0.901
9540	2.595599	5.7168527	11.31	15.323	1.51	10.72	12.037	7.653	0.713
9541	1.8197573	-0.35494816	6.821	16.542	1.561	3.561	7.741	7.096	0.784
9542	0.90745205	10.8846035	22.375	17.195	1.37	9.661	16.207	6.101	1.256
9543	1.6288648	6.420223	14.258	13.964	1.612	10.45	12.335	6.123	0.802
9544	3.2044668	13.000984	23.142	11.789	0.84	28.901	13.506	4.705	0.861
9545	1.2134556	3.3351712	12.12	18.662	1.344	8.78	8.17	5.898	0.926
9546	3.8546891	1.7393285	6.833	11.802	1.241	6.727	11.676	7.445	0.973
9547	2.842472	0.85926	8.07	14.019	1.458	4.635	9.514	5.985	0.821
9548	-0.24729115	6.959698	16.222	13.11	1.496	4.657	12.725	7.467	0.98
9549	-0.8297576	7.543376	17.976	13.867	1.555	7.948	10.165	6.559	0.887
9550	0.06865529	4.438205	13.922	17.243	1.094	6.359	8.504	6.554	0.888
9551	1.1549	3.7978244	12.575	20.621	2.39	6.775	12.004	7.912	0.839
9552	2.3389025	11.994217	24.429	15.723	1.542	19.703	14.594	7.077	0.797
9553	0.6102168	6.515683	15.406	15.871	1.568	5.648	12.567	7.4	0.719
9554	0.98436695	11.055606	21.934	13.021	1.356	7.102	17.603	7.264	0.982
9555	0.36749375	3.8432307	12.954	14.742	1.708	5.89	9.029	7.085	0.722
9556	0.76965845	2.2817452	11.811	16.037	1.298	4.93	8.864	6.638	0.936
9557	-0.38882938	-0.73735464	10.815	14.599	0.918	3.637	6.162	4.805	0.77
9558	-0.81320786	8.253536	19.383	14.427	1.421	5.222	11.361	7.238	1.03
9559	1.0173124	14.601095	35.552	12.549	1.647	12.135	14.882	5.839	1.424
9560	-0.44945964	5.761365	15.475	13.626	1.468	6.781	9.946	6.393	0.765
9561	1.2911611	7.3684173	16.254	15.556	1.524	9.649	13.172	6.502	0.713
9562	-0.8708194	8.284017	19.683	14.556	1.509	5.721	10.927	6.811	0.796
9563	0.3239557	9.425232	20.636	11.496	1.585	10.096	9.14	6.062	0.649
9564	2.4536152	8.707064	16.622	11.556	1.478	13.755	12.806	5.297	0.869
9565	2.5985885	-1.6612139	3.582	16.797	1.106	5.346	6.81	6.413	0.703
9566	2.6420689	-3.4333527	3.797	13.666	0.516	2.594	4.03	3.702	0.484
9567	2.390203	-2.174073	5.555	12.548	0.946	4.786	5.359	5.136	0.638
9568	-0.4224805	10.8795595	23.508	14.515	1.585	9.588	10.129	5.716	0.861
9569	1.2291855	8.982108	18.398	16.794	1.382	10.419	14.274	6.387	0.825
9570	0.8072453	2.1962256	11.938	15.758	1.45	5.203	8.353	6.148	0.791
9571	1.2447281	0.10574729	7.135	17.739	0.991	4.683	6.723	4.694	0.737
9572	1.7158798	4.113667	11.424	17.174	1.246	7.359	11.901	7.244	0.794
9573	1.6531701	3.7987535	12.018	11.601	1.467	7.775	9.649	7.385	1.095
9574	1.7991949	1.9168173	7.05	18.446	1.065	8.429	9.875	6.704	0.742
9575	0.28071445	8.630002	19.368	18.34	1.452	7.697	13.349	7.404	0.844
9576	3.2827837	1.4575386	9.154	11.89	1.488	5.695	10.184	6.447	0.779
9577	1.5177988	4.3027296	12.651	12.093	1.521	6.479	10.535	6.885	0.806
9578	1.3122327	6.1708546	14.726	13.458	1.778	6.723	13.327	8.019	0.967
9579	1.4822515	5.2651887	14.095	13.004	1.166	8.19	12.359	9.122	0.901
9580	0.6357177	0.1995449	5.513	21.588	0.713	4.224	5.868	4.809	0.635
9581	-0.31063116	11.358898	24.8	13.02	1.587	9.711	12.657	7.745	1.061
9582	2.232007	14.040647	32.821	15.853	1.796	18.323	23.817	6.819	1.71
9583	2.932119	-3.1884274	3.285	13.59	0.897	2.873	5.354	5.435	0.678
9584	1.3590206	7.701918	16.309	12.302	1.433	10.938	12.922	6.749	0.746
9585	3.3481133	7.7742653	14.204	12.425	1.59	12.756	17.175	8.08	0.602
9586	1.9741571	7.2683177	14.498	16.669	1.427	13.33	9.923	4.512	0.892
9587	-0.22689308	10.99058	22.934	13.003	1.554	10.397	13.86	7.29	0.809
9588	0.37380204	2.5276203	12.569	18.954	1.4	5.702	9.195	7.621	0.974
9589	1.9917806	14.102088	34.944	11.967	1.389	20.494	17.5	5.6	1.255
9590	1.4099412	9.92977	20.654	11.696	1.581	10.7	16.093	8.675	0.773
9591	-0.19753098	-1.5451739	9.332	12.582	0.98	3.39	6.228	4.55	0.555
9592	2.7054784	-0.75336105	6.366	13.458	1.273	5.497	7.359	6.214	0.656
9593	2.6206808	8.591964	19.512	11.838	1.327	6.668	17.335	10.634	1.356
9594	3.5300722	-0.16794057	6.43	11.711	1.045	5.019	8.277	7.394	0.784
9595	2.44817	0.08338817	8.259	12.658	1.047	4.745	7.212	6.313	0.78
9596	-0.8431231	8.014565	18.963	15.752	1.641	7.443	8.911	6.129	0.591
9597	1.9224122	14.382169	34.701	18.209	1.233	17.223	20.184	5.197	1.971
9598	2.334704	11.499353	23.183	11.932	1.472	16.422	14.971	6.583	1.063
9599	0.93828964	10.427378	21.175	15.895	1.702	11.081	13.969	6.65	0.803
9600	0.28952962	5.3107057	15.298	12.401	1.359	6.754	10.688	6.481	0.715
9601	1.5348773	5.2753215	13.476	18.295	1.598	8.32	12.909	7.071	0.791
9602	0.21533503	6.9351473	16.613	16.395	1.484	6.645	11.217	6.652	1.003
9603	1.0347162	6.287152	14.133	15.511	1.737	5.332	13.427	8.256	1.236
9604	2.0900543	14.249557	33.377	11.25	1.613	19.921	22.435	6.49	1.572
9605	1.5511259	0.84429914	8.112	17.852	0.963	6.276	7.87	5.767	0.681
9606	-1.3108022	10.071126	22.943	11.82	1.813	5.203	10.022	5.639	1.024
9607	0.46727344	1.2331299	9.913	21.198	1.14	4.436	8.92	7.195	0.859
9608	1.9203107	2.6727703	9.948	15.176	1.116	7.493	9.19	6.779	0.66
9609	1.1238866	6.241333	14.927	12.828	1.563	8.498	12.495	6.608	0.819
9610	0.31367335	0.98406255	9.421	25.163	1.113	5.71	9.054	7.316	0.858
9611	0.006838639	4.151799	14.416	15.175	1.463	5.813	8.834	8.35	0.968
9612	2.6668544	0.5019485	8.204	12.381	0.878	4.015	8.672	7.275	0.781
9613	-0.6956652	9.232057	20.506	14.73	1.535	7.501	12.8	6.958	1.08
9614	3.000085	4.7596183	11.125	14.196	1.23	12.817	9.634	5.927	0.595
9615	0.2874348	1.9689507	12.231	19.655	1.426	5.003	9.092	7.333	0.953
9616	2.2434983	4.161	11.773	15.259	1.259	5.565	13.168	8.12	0.798
9617	2.3858397	3.9061906	11.687	13.941	1.611	6.586	11.461	8.636	0.794
9618	-0.6892432	9.5171385	21.547	14.931	1.319	8.508	12.627	6.859	0.919
9619	2.7541986	-3.2496173	3.377	14.102	0.622	2.423	5.07	3.824	0.637
9620	1.6499802	13.417058	29.59	13.922	1.193	17.974	13.443	5.529	1.071
9621	-0.45441514	9.780235	21.855	16.961	1.595	7.563	11.908	6.229	1.284
9622	2.5916667	14.479681	37.018	11.921	1.722	14.737	28.638	8.767	1.744
9623	3.6211326	2.9044285	8.686	14.11	1.278	5.11	15.162	8.706	0.944
9624	2.258367	4.2998614	12.608	12.006	1.724	5.105	13.761	7.567	0.742
9625	0.63834316	5.013128	14.203	12.378	1.576	6.947	10.873	6.66	0.913
9626	2.4466717	-1.9955777	4.35	14.458	1.111	4.392	6.272	5.628	0.635
9627	-0.96213174	6.8531547	17.543	11.772	1.366	5.759	9.865	8.296	1.608
9628	-0.36330047	10.160826	21.464	12.441	1.387	8.934	13.463	8.954	0.988
9629	1.191041	2.1349647	10.325	17.469	1.257	5.718	10.29	6.642	0.834
9630	0.35190672	5.8290935	15.412	13.939	1.558	5.8	12.969	6.464	0.878
9631	-0.80407816	7.147581	17.579	11.933	1.431	7.135	10.156	5.985	0.849
9632	0.08766223	7.953258	17.306	14.681	1.393	6.702	13.78	7.284	0.899
9633	0.9449194	1.4507802	9.712	17.928	1.305	5.505	7.586	6.146	0.716
9634	-0.21217898	7.779168	17.512	15.403	1.358	6.621	12.508	10.767	0.779
9635	1.6119195	9.400522	19.778	17.773	1.542	7.893	15.982	10.549	0.794
9636	0.4764943	3.7941797	12.397	13.626	1.15	5.923	10.053	5.902	0.666
9637	2.053364	2.7908275	10.495	15.794	1.456	5.781	11.182	6.639	0.717
9638	2.45977	-2.4252763	3.902	16.639	0.892	4.744	5.12	4.802	0.621
